,X,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvacci0tions,totalbooster,fullyvacnumber,logofConfirmed,logofDeaths,logofTests,logofTotalVaccines,logofTotalBoosters,logofFullyVacci0ted
81,80,IRL,Ireland,594250,5707,1832131819,87.96,60.93278443,3,3,2,0.788990826,8339577,913670,3798451,13.29505539,8.649448771,21.32874605,15.93652305,13.72522473,15.15010391
82,81,ISR,Israel,1345915,8204,6413767795,87.04,54.90828829,3,2.311926606,2,0.244648318,16254505,4100290,5782188,14.11258464,9.012377119,22.58171273,16.60388066,15.22656826,15.57029272
83,82,ITA,Italy,5109082,134195,22819214855,83.33,69.71433333,4,3.348623853,2,1.902140673,98729849,8682311,44154825,15.4465303,11.80704925,23.85086877,18.40789788,15.9767983,17.60321277
84,83,JAM,Jamaica,91469,2410,85439727,86.11,73.07417417,4,3.107033639,3,2.143730887,1135059,0,523049,11.4237554,7.787382026,18.26332174,13.94219519,0,13.16743043
85,84,JPN,Japan,1727229,18360,5094600901,55.09,49.00426426,1,1,1,1,197620701,0,97685248,14.36202895,9.817929664,22.35144717,19.1018601,0,18.39726111
86,85,JOR,Jordan,975956,11761,1497659911,81.48,53.07279141,3,2.401840491,2,1.490797546,7950684,0,3776263,13.79117278,9.372544252,21.12716967,15.88876852,0,15.14424545
87,86,KAZ,Kazakhstan,1058758,17895,1333645988,79.17,65.67317365,4,3.088685015,2,0.74617737,16955745,0,8176988,13.87260708,9.792276623,21.01118237,16.64611727,0,15.91683443
88,87,KEN,Kenya,255437,5335,24131061,74.07,58.34486154,4,3.535384615,2,1.833846154,7583134,0,2954835,12.45073108,8.582044164,16.99901041,15.84143713,0,14.89895337
89,88,KIR,Kiribati,2,0,0,56.94,27.72503067,3,0.36809816,2,0.613496933,82167,0,22675,0.693147181,0,0,11.31650904,0,10.02901827
90,89,OWID_KOS,Kosovo,0,0,100295901,75.93,49.50587879,4,3.247706422,2,1.241590214,1624584,0,765669,0,0,18.42363538,14.30076234,0,13.54850524
91,90,KWT,Kuwait,413491,2465,983138186,77.78,58.2639759,4,3.070336391,2,0.614678899,6578646,108687,3165385,12.93239103,7.809947086,20.70626024,15.69933951,11.59622747,14.96778525
92,91,KGZ,Kyrgyzstan,183615,2758,0,58.33,49.42153374,3,2.539877301,1,0.009202454,2056269,0,914026,12.12059645,7.922261058,0,14.53640373,0,13.7256143
93,92,LAO,Laos,79833,207,30429426,86.11,51.91876877,4,3.440366972,2,1.076452599,5830021,0,3099003,11.28769223,5.332718793,17.23092066,15.57853116,0,14.946591
94,93,LVA,Latvia,257329,4267,951880234,70.37,51.07659509,3,2.680981595,2,0.171779141,2220155,0,1207491,12.4581107,8.358666283,20.67394978,14.61308757,0,14.00405521
95,94,LBN,Lebanon,678801,8775,112679216,92.59,68.57087349,4,2.822629969,3,1.896024465,3660210,0,1710771,13.42808329,9.079662048,18.54005554,15.11303108,0,14.3524547
96,95,LSO,Lesotho,21838,663,0,85.19,57.26279874,4,3.507836991,2,1.937304075,617671,0,572287,9.991406851,6.49677499,0,13.33371123,0,13.25739589
97,96,LBR,Liberia,5824,287,0,55.56,43.97798799,4,3.110091743,1,0.204892966,589628,0,456623,8.66974259,5.659482216,0,13.28724711,0,13.03161338
98,97,LBY,Libya,374989,5493,0,87.96,64.77614583,3,2.805555556,2,1.191358025,2377003,0,666531,12.83465197,8.611229833,0,14.68135101,0,13.40984193
99,98,LIE,Liechtenstein,4893,62,16191005,56.48,44.50927711,3,2.214067278,1,1,51795,1677,25165,8.495560891,4.127134385,16.5999664,10.8550489,7.424761762,10.13320942
100,99,LTU,Lithuania,479839,6847,1239234913,74.07,46.68541796,3,2.169753086,2,0.681114551,3770993,356740,1790996,13.08120591,8.831565879,20.93776002,15.14284892,12.7847625,14.39828245
101,100,LUX,Luxembourg,90774,880,957891376,67.59,46.17486486,3,2.009174312,2,1.116207951,0,0,429705,11.41612818,6.779921907,20.68024494,0,0,12.97085421
102,101,MAC,Macao,0,0,0,62.04,29.72902439,2,2,0,0,930802,0,442605,0,0,0,13.74380186,0,13.000433
103,102,MDG,Madagascar,44800,972,30420998,81.48,49.8977918,4,3.457413249,2,1.356466877,685440,0,484570,10.70996342,6.879355804,17.23064365,13.43781625,0,13.09101718
104,103,MWI,Malawi,61981,2307,8622726,52.78,42.55460123,3,2.420245399,2,0.414110429,1476957,0,617998,11.03458317,7.743703258,15.96991183,14.20549445,0,13.3342405
105,104,MYS,Malaysia,2658772,30614,6203002854,85.19,70.12566265,3,3,2,1.645259939,53875223,2798233,25420679,14.79337492,10.3292127,22.54829934,17.80218125,14.8444987,17.05107353
106,105,MLI,Mali,17915,618,0,51.85,44.31555556,3,3,1,0.425076453,847067,0,320681,9.79339363,6.426488457,0,13.64953507,0,12.67820214
107,106,MLT,Malta,39934,468,327974281,75,52.60063063,4,3.55351682,0,0,971433,132189,432844,10.59498337,6.148468296,19.60844575,13.78652758,11.791988,12.97813266
108,107,MRT,Mauritania,39558,840,2715696,59.26,42.78843844,3,3,2,1.568807339,1759659,0,684075,10.58552323,6.733401892,14.81455883,14.3806306,0,13.43582284
109,108,MUS,Mauritius,22090,240,0,97.22,53.94432515,4,3.211656442,3,0.699386503,1875132,0,914936,10.0028803,5.480638923,0,14.44418961,0,13.7266094
110,109,MEX,Mexico,3901263,295203,2481914421,71.76,49.92079027,4,4,2,1.311926606,134370326,0,65422436,15.1768109,12.59541853,21.63229604,18.71611017,0,17.99637582
