"","X.1","X","isocode","country","Confirmed","Deaths","tests","MaxStringencyIndex","MeanStringencyIndex","MaxFacialCoverings","MeanFacialCoverings","MaxStayHome","MeanStayHome","totalvaccinations","totalbooster","fullyvacnumber","logofConfirmed","logofDeaths","logofTests","logofTotalVaccines","logofTotalBoosters","logofFullyVaccinated"
"11",35,34,"CHL","Chile",1772547,38501,5278058590,84.72,68.9740419161677,3,2.64831804281346,3,2.28134556574924,41532402,8980522,16221873,14.3879280532569,10.5584394939645,22.3868241757617,17.5419844516421,16.0105685677649,16.6018710747074
"12",39,38,"CRI","Costa Rica",567383,7312,388819633,66.67,57.7635409836066,3,3,1,1,7137983,35412,3215091,13.2487898396814,8.89727211313399,19.7786261256748,15.7809408014099,10.4748060247309,14.9833662200744
"13",43,42,"CYP","Cyprus",136832,601,2624616420,84.26,57.6252852852853,4,2.90214067278287,2,1.13149847094801,1339063,128838,585087,11.8265091749447,6.39859493453521,21.6882005965983,14.1074806736038,11.7663110801952,13.2795158331053
"14",46,45,"DNK","Denmark",514609,2959,10217259118,70.37,49.54003003003,3,2.18042813455657,1,0.428134556574924,9911854,914751,4463547,13.1511626679889,7.99260665240021,23.0473441976905,16.109241972562,13.7264071760757,15.3114542993994
"15",49,48,"DOM","Dominican Republic",408516,4212,188401519,70.37,63.1075454545455,4,3.38837920489297,2,1.86544342507645,13866766,1356217,5619966,12.9202863602018,8.34569287325387,19.0540859827067,16.4450055999993,14.1202097641776,15.5418361720295
"16",50,49,"ECU","Ecuador",526870,33250,431172513,76.85,63.6361561561562,3,2.90519877675841,3,1.15596330275229,25309620,439649,11501793,13.1747091177763,10.411810046084,19.8820188301655,17.0466951185801,12.993731960268,16.2580134942238
"17",52,51,"SLV","El Salvador",119803,3783,83439357,47.22,33.653198757764,4,3.52173913043478,2,0.319875776397516,9241093,720514,4081545,11.6936040060862,8.23827262463303,18.239630662491,16.0391707266654,13.4877201251837,15.2219861511711
"18",64,63,"DEU","Germany",6200937,103124,2854120708,85.19,67.2096996996997,2,2,2,1.35474006116208,127656766,13914334,57383300,15.6402109676287,11.5436874266203,21.7720296494304,18.6648557045557,16.4484300897773,17.8652638781918
"19",66,65,"GRC","Greece",966221,18595,3699475618,88.89,74.0322435897436,4,3.18910256410256,3,1.72115384615385,14788422,1696563,6663358,13.7811478654968,9.83064800635917,22.0314569216878,16.5093551352828,14.3441149977954,15.7121341196525
"20",76,75,"ISL","Iceland",18333,35,148616910,65.74,37.7385889570552,3,2.08895705521472,0,0,665013,153073,281402,9.81645799356303,3.55534806148941,18.8168824791977,13.4075618683191,11.93867021077,12.5475395309577
"21",79,78,"IRN","Iran",6134465,130200,4059661925,81.48,74.6464,3,2.93230769230769,2,1.79692307692308,107531771,1287811,48149791,15.6294334277606,11.7768270087566,22.1243655373885,18.4932969060535,14.0684544357488,17.6898273555967
"22",81,80,"IRL","Ireland",594250,5707,1832131819,87.96,60.9327844311377,3,3,2,0.788990825688073,8339577,913670,3798451,13.2950553852224,8.64944877053671,21.3287460542124,15.9365230536242,13.7252247349137,15.1501039100133
"23",82,81,"ISR","Israel",1345915,8204,6413767795,87.04,54.9082882882883,3,2.31192660550459,2,0.244648318042813,16254505,4100290,5782188,14.1125846371185,9.01237711919227,22.5817127347245,16.6038806590879,15.2265682608805,15.5702927157306
"24",83,82,"ITA","Italy",5109082,134195,22819214855,83.33,69.7143333333333,4,3.34862385321101,2,1.90214067278287,98729849,8682311,44154825,15.4465302982918,11.8070492450015,23.8508687747849,18.4078978801628,15.9767982954395,17.6032127655661
"25",91,90,"KWT","Kuwait",413491,2465,983138186,77.78,58.2639759036145,4,3.07033639143731,2,0.614678899082569,6578646,108687,3165385,12.9323910277918,7.80994708647679,20.70626024402,15.6993395070509,11.596227470741,14.9677852491325
"26",99,98,"LIE","Liechtenstein",4893,62,16191005,56.48,44.5092771084337,3,2.21406727828746,1,1,51795,1677,25165,8.49556089128912,4.12713438504509,16.5999663990824,10.8550488984922,7.42476176182321,10.1332094192105
"27",100,99,"LTU","Lithuania",479839,6847,1239234913,74.07,46.6854179566563,3,2.16975308641975,2,0.681114551083591,3770993,356740,1790996,13.0812059099527,8.83156587912106,20.9377600204919,15.1428489199672,12.7847625041123,14.3982824476512
"28",105,104,"MYS","Malaysia",2658772,30614,6203002854,85.19,70.1256626506024,3,3,2,1.64525993883792,53875223,2798233,25420679,14.7933749200275,10.3292126996517,22.5482993430372,17.8021812455908,14.8444987045075,17.0510735346198
