location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Ireland,2021-03-05,50-59,10.02,5.39
Ireland,2021-03-05,60-69,7.13,3.62
Ireland,2021-03-05,70-79,7.25,2.19
Ireland,2021-03-05,80+,66.91,9.85
Ireland,2021-03-12,18-24,4.83,1.94
Ireland,2021-03-12,25-49,9.17,4.73
Ireland,2021-03-12,50-59,11.35,5.73
Ireland,2021-03-12,60-69,8.33,3.96
Ireland,2021-03-12,70-79,10.14,2.66
Ireland,2021-03-12,80+,86.69,11.26
Ireland,2021-03-19,18-24,4.95,1.99
Ireland,2021-03-19,25-49,9.29,4.85
Ireland,2021-03-19,50-59,11.54,5.9
Ireland,2021-03-19,60-69,8.65,4.12
Ireland,2021-03-19,70-79,16.05,2.93
Ireland,2021-03-19,80+,99.71,20.63
Ireland,2021-03-26,18-24,5.74,2.04
Ireland,2021-03-26,25-49,10.32,4.93
Ireland,2021-03-26,50-59,13.09,6.03
Ireland,2021-03-26,60-69,10.49,4.36
Ireland,2021-03-26,70-79,28.72,4.14
Ireland,2021-03-26,80+,103.63,42.5
Ireland,2021-04-02,18-24,6.55,2.07
Ireland,2021-04-02,25-49,11.25,4.99
Ireland,2021-04-02,50-59,14.49,6.11
Ireland,2021-04-02,60-69,12.49,4.58
Ireland,2021-04-02,70-79,42.98,7.04
Ireland,2021-04-02,80+,105.88,65.88
Ireland,2021-04-09,18-24,7.18,2.1
Ireland,2021-04-09,25-49,12.01,5.03
Ireland,2021-04-09,50-59,15.9,6.18
Ireland,2021-04-09,60-69,14.75,4.72
Ireland,2021-04-09,70-79,58.73,9.75
Ireland,2021-04-09,80+,106.71,84.92
Ireland,2021-04-16,18-24,7.33,2.12
Ireland,2021-04-16,25-49,12.34,5.07
Ireland,2021-04-16,50-59,16.73,6.24
Ireland,2021-04-16,60-69,17.82,4.86
Ireland,2021-04-16,70-79,84.57,15.68
Ireland,2021-04-16,80+,107.33,97.83
Ireland,2021-04-23,18-24,7.75,2.16
Ireland,2021-04-23,25-49,13.15,5.16
Ireland,2021-04-23,50-59,19.14,6.35
Ireland,2021-04-23,60-69,30.44,5.1
Ireland,2021-04-23,70-79,101.11,28.15
Ireland,2021-04-23,80+,107.72,101.81
Ireland,2021-04-30,18-24,8.62,2.19
Ireland,2021-04-30,25-49,14.89,5.19
Ireland,2021-04-30,50-59,23.96,6.42
Ireland,2021-04-30,60-69,48.76,5.34
Ireland,2021-04-30,70-79,104.5,42.01
Ireland,2021-04-30,80+,108.04,104.29
Ireland,2021-05-07,18-24,9.58,2.22
Ireland,2021-05-07,25-49,16.7,5.28
Ireland,2021-05-07,50-59,28.53,6.67
Ireland,2021-05-07,60-69,75.41,6.07
Ireland,2021-05-07,70-79,105.32,57.55
Ireland,2021-05-07,80+,108.21,105.1
Ireland,2021-05-14,18-24,10.54,2.39
Ireland,2021-05-14,25-49,18.36,5.57
Ireland,2021-05-14,50-59,46.55,7.5
Ireland,2021-05-14,60-69,90.98,8.49
Ireland,2021-05-14,70-79,105.85,83.36
Ireland,2021-05-14,80+,108.34,105.82
Ireland,2021-05-21,18-24,11.73,2.92
Ireland,2021-05-21,25-49,20.58,6.52
Ireland,2021-05-21,50-59,75.59,16.24
Ireland,2021-05-21,60-69,94.49,11.57
Ireland,2021-05-21,70-79,106.13,96.78
Ireland,2021-05-21,80+,108.41,106.21
Ireland,2021-05-28,18-24,13.23,4.66
Ireland,2021-05-28,25-49,25.94,9.77
Ireland,2021-05-28,50-59,87.28,25.45
Ireland,2021-05-28,60-69,96.28,14.46
Ireland,2021-05-28,70-79,106.36,99.5
Ireland,2021-05-28,80+,108.48,106.49
Ireland,2021-06-04,18-24,14.71,6.45
Ireland,2021-06-04,25-49,33.25,12.73
Ireland,2021-06-04,50-59,91.53,32.95
Ireland,2021-06-04,60-69,97.33,17.13
Ireland,2021-06-04,70-79,106.52,100.26
Ireland,2021-06-04,80+,108.54,106.68
Ireland,2021-06-11,18-24,15.98,7.74
Ireland,2021-06-11,25-49,41.03,14.8
Ireland,2021-06-11,50-59,92.96,46.31
Ireland,2021-06-11,60-69,97.82,20.45
Ireland,2021-06-11,70-79,106.62,100.84
Ireland,2021-06-11,80+,108.57,106.81
Ireland,2021-06-18,18-24,17.24,10.18
Ireland,2021-06-18,25-49,45.58,18.65
Ireland,2021-06-18,50-59,93.65,69.52
Ireland,2021-06-18,60-69,98.21,30.2
Ireland,2021-06-18,70-79,106.73,102.88
Ireland,2021-06-18,80+,108.62,106.94
Ireland,2021-06-25,18-24,18.75,12.52
Ireland,2021-06-25,25-49,50.78,23.6
Ireland,2021-06-25,50-59,94.32,83.33
Ireland,2021-06-25,60-69,98.72,47.9
Ireland,2021-06-25,70-79,106.84,105.02
Ireland,2021-06-25,80+,108.65,107.05
Ireland,2021-07-02,18-24,20.49,14.17
Ireland,2021-07-02,25-49,56.93,30.2
Ireland,2021-07-02,50-59,94.84,87.76
Ireland,2021-07-02,60-69,99.1,67.75
Ireland,2021-07-02,70-79,106.93,105.74
Ireland,2021-07-02,80+,108.69,107.15
Ireland,2021-07-09,18-24,26.38,19.12
Ireland,2021-07-09,25-49,62.88,38.6
Ireland,2021-07-09,50-59,95.34,91.28
Ireland,2021-07-09,60-69,99.48,87.77
Ireland,2021-07-09,70-79,107.0,106.14
Ireland,2021-07-09,80+,108.73,107.21
Ireland,2021-07-16,18-24,34.93,26.35
Ireland,2021-07-16,25-49,70.81,47.17
Ireland,2021-07-16,50-59,95.74,93.59
Ireland,2021-07-16,60-69,99.75,97.22
Ireland,2021-07-16,70-79,107.07,106.34
Ireland,2021-07-16,80+,108.76,107.27
Ireland,2021-07-23,18-24,49.54,33.07
Ireland,2021-07-23,25-49,78.98,53.89
Ireland,2021-07-23,50-59,96.1,94.3
Ireland,2021-07-23,60-69,99.97,97.93
Ireland,2021-07-23,70-79,107.11,106.44
Ireland,2021-07-23,80+,108.8,107.32
Ireland,2021-07-30,18-24,66.67,37.39
Ireland,2021-07-30,25-49,82.02,61.21
Ireland,2021-07-30,50-59,96.41,94.79
Ireland,2021-07-30,60-69,100.18,98.56
Ireland,2021-07-30,70-79,107.16,106.54
Ireland,2021-07-30,80+,108.82,107.36
Ireland,2021-08-06,18-24,74.34,40.26
Ireland,2021-08-06,25-49,83.63,68.03
Ireland,2021-08-06,50-59,96.69,95.26
Ireland,2021-08-06,60-69,100.36,98.97
Ireland,2021-08-06,70-79,107.21,106.63
Ireland,2021-08-06,80+,108.85,107.4
Ireland,2021-08-13,18-24,76.85,45.47
Ireland,2021-08-13,25-49,84.45,75.51
Ireland,2021-08-13,50-59,96.86,95.61
Ireland,2021-08-13,60-69,100.46,99.23
Ireland,2021-08-13,70-79,107.24,106.69
Ireland,2021-08-13,80+,108.87,107.44
Ireland,2021-08-20,18-24,78.49,59.54
Ireland,2021-08-20,25-49,85.09,79.64
Ireland,2021-08-20,50-59,97.02,95.91
Ireland,2021-08-20,60-69,100.58,99.48
Ireland,2021-08-20,70-79,107.27,106.75
Ireland,2021-08-20,80+,108.9,107.49
Ireland,2021-08-27,18-24,80.11,69.08
Ireland,2021-08-27,25-49,85.76,81.68
Ireland,2021-08-27,50-59,97.19,96.23
Ireland,2021-08-27,60-69,100.68,99.72
Ireland,2021-08-27,70-79,107.31,106.82
Ireland,2021-08-27,80+,108.93,107.53
Ireland,2021-09-03,18-24,81.19,74.15
Ireland,2021-09-03,25-49,86.23,83.03
Ireland,2021-09-03,50-59,97.31,96.43
Ireland,2021-09-03,60-69,100.76,99.86
Ireland,2021-09-03,70-79,107.33,106.87
Ireland,2021-09-03,80+,108.94,107.56
Ireland,2021-09-10,18-24,81.95,76.34
Ireland,2021-09-10,25-49,86.61,83.82
Ireland,2021-09-10,50-59,97.4,96.6
Ireland,2021-09-10,60-69,100.82,100.0
Ireland,2021-09-10,70-79,107.35,106.9
Ireland,2021-09-10,80+,108.96,107.59
Ireland,2021-09-17,18-24,82.55,78.12
Ireland,2021-09-17,25-49,86.89,84.53
Ireland,2021-09-17,50-59,97.47,96.75
Ireland,2021-09-17,60-69,100.86,100.12
Ireland,2021-09-17,70-79,107.37,106.94
Ireland,2021-09-17,80+,108.97,107.63
Ireland,2021-09-24,18-24,82.98,79.39
Ireland,2021-09-24,25-49,87.13,85.12
Ireland,2021-09-24,50-59,97.53,96.89
Ireland,2021-09-24,60-69,100.9,100.22
Ireland,2021-09-24,70-79,107.38,106.97
Ireland,2021-09-24,80+,109.0,107.65
Ireland,2021-10-01,18-24,83.47,80.42
Ireland,2021-10-01,25-49,87.34,85.56
Ireland,2021-10-01,50-59,97.58,97.0
Ireland,2021-10-01,60-69,100.93,100.29
Ireland,2021-10-01,70-79,107.4,107.0
Ireland,2021-10-01,80+,109.05,107.68
Ireland,2021-10-08,18-24,83.7,81.06
Ireland,2021-10-08,25-49,87.49,85.89
Ireland,2021-10-08,50-59,97.63,97.07
Ireland,2021-10-08,60-69,100.95,100.34
Ireland,2021-10-08,70-79,107.42,107.02
Ireland,2021-10-08,80+,109.2,107.78
Ireland,2021-10-15,18-24,83.9,81.52
Ireland,2021-10-15,25-49,87.64,86.14
Ireland,2021-10-15,50-59,97.68,97.14
Ireland,2021-10-15,60-69,100.98,100.38
Ireland,2021-10-15,70-79,107.43,107.04
Ireland,2021-10-15,80+,109.31,107.81
Ireland,2021-10-22,18-24,84.37,82.1
Ireland,2021-10-22,25-49,87.91,86.4
Ireland,2021-10-22,50-59,97.76,97.2
Ireland,2021-10-22,60-69,101.03,100.43
Ireland,2021-10-22,70-79,107.45,107.06
Ireland,2021-10-22,80+,109.37,107.83
Ireland,2021-10-29,18-24,84.83,82.43
Ireland,2021-10-29,25-49,88.19,86.59
Ireland,2021-10-29,50-59,97.85,97.25
Ireland,2021-10-29,60-69,101.09,100.46
Ireland,2021-10-29,70-79,107.47,107.07
Ireland,2021-10-29,80+,109.41,107.84
Ireland,2021-11-05,18-24,85.23,82.7
Ireland,2021-11-05,25-49,88.43,86.75
Ireland,2021-11-05,50-59,97.91,97.3
Ireland,2021-11-05,60-69,101.13,100.48
Ireland,2021-11-05,70-79,107.5,107.08
Ireland,2021-11-05,80+,109.44,107.85
Ireland,2021-11-12,18-24,85.6,83.02
Ireland,2021-11-12,25-49,88.65,86.95
Ireland,2021-11-12,50-59,97.97,97.36
Ireland,2021-11-12,60-69,101.17,100.52
Ireland,2021-11-12,70-79,107.54,107.09
Ireland,2021-11-12,80+,109.46,107.86
Ireland,2021-11-19,18-24,85.94,83.47
Ireland,2021-11-19,25-49,88.87,87.22
Ireland,2021-11-19,50-59,98.05,97.44
Ireland,2021-11-19,60-69,101.22,100.57
Ireland,2021-11-19,70-79,107.58,107.1
Ireland,2021-11-19,80+,109.47,107.87
Israel,2021-01-14,20-29,8.95,0.38
Israel,2021-01-14,30-39,13.46,0.89
Israel,2021-01-14,40-49,23.51,1.36
Israel,2021-01-14,50-59,42.02,1.89
Israel,2021-01-14,60-69,66.52,7.49
Israel,2021-01-14,70-79,84.49,10.61
Israel,2021-01-14,80-89,77.82,6.95
Israel,2021-01-14,90+,80.64,5.42
Israel,2021-01-15,20-29,9.17,0.42
Israel,2021-01-15,30-39,13.72,0.97
Israel,2021-01-15,40-49,23.88,1.5
Israel,2021-01-15,50-59,43.09,2.14
Israel,2021-01-15,60-69,66.81,8.75
Israel,2021-01-15,70-79,84.72,12.52
Israel,2021-01-15,80-89,78.02,8.36
Israel,2021-01-15,90+,80.78,6.53
Israel,2021-01-16,20-29,9.43,0.45
Israel,2021-01-16,30-39,14.1,1.04
Israel,2021-01-16,40-49,24.73,1.63
Israel,2021-01-16,50-59,44.9,2.4
Israel,2021-01-16,60-69,67.21,10.3
Israel,2021-01-16,70-79,85.02,15.02
Israel,2021-01-16,80-89,78.31,10.21
Israel,2021-01-16,90+,81.07,8.12
Israel,2021-01-17,20-29,9.71,0.6
Israel,2021-01-17,30-39,14.52,1.32
Israel,2021-01-17,40-49,26.01,2.07
Israel,2021-01-17,50-59,47.39,3.09
Israel,2021-01-17,60-69,67.85,13.17
Israel,2021-01-17,70-79,85.61,19.55
Israel,2021-01-17,80-89,78.83,13.96
Israel,2021-01-17,90+,81.55,11.28
Israel,2021-01-18,20-29,10.59,0.89
Israel,2021-01-18,30-39,15.18,1.85
Israel,2021-01-18,40-49,27.99,2.97
Israel,2021-01-18,50-59,49.64,4.52
Israel,2021-01-18,60-69,68.66,18.12
Israel,2021-01-18,70-79,86.35,26.77
Israel,2021-01-18,80-89,79.47,19.95
Israel,2021-01-18,90+,82.02,16.91
Israel,2021-01-19,20-29,11.48,1.18
Israel,2021-01-19,30-39,15.63,2.28
Israel,2021-01-19,40-49,29.17,3.65
Israel,2021-01-19,50-59,50.74,5.55
Israel,2021-01-19,60-69,69.05,20.84
Israel,2021-01-19,70-79,86.72,30.86
Israel,2021-01-19,80-89,79.81,24.02
Israel,2021-01-19,90+,82.36,22.05
Israel,2021-01-20,20-29,13.11,1.73
Israel,2021-01-20,30-39,16.63,3.06
Israel,2021-01-20,40-49,31.9,4.9
Israel,2021-01-20,50-59,52.79,7.55
Israel,2021-01-20,60-69,70.01,26.28
Israel,2021-01-20,70-79,87.62,38.26
Israel,2021-01-20,80-89,80.67,30.92
Israel,2021-01-20,90+,83.13,29.96
Israel,2021-01-21,20-29,14.16,2.5
Israel,2021-01-21,30-39,18.2,4.17
Israel,2021-01-21,40-49,35.5,6.71
Israel,2021-01-21,50-59,55.05,10.95
Israel,2021-01-21,60-69,71.04,33.76
Israel,2021-01-21,70-79,88.58,48.27
Israel,2021-01-21,80-89,81.58,40.2
Israel,2021-01-21,90+,84.01,39.85
Israel,2021-01-22,20-29,14.6,2.75
Israel,2021-01-22,30-39,18.85,4.59
Israel,2021-01-22,40-49,36.88,7.47
Israel,2021-01-22,50-59,55.79,12.47
Israel,2021-01-22,60-69,71.33,36.29
Israel,2021-01-22,70-79,88.79,51.07
Israel,2021-01-22,80-89,81.79,42.93
Israel,2021-01-22,90+,84.22,42.99
Israel,2021-01-23,20-29,15.02,3.03
Israel,2021-01-23,30-39,19.39,4.87
Israel,2021-01-23,40-49,38.16,8.04
Israel,2021-01-23,50-59,56.52,13.57
Israel,2021-01-23,60-69,71.58,37.84
Israel,2021-01-23,70-79,88.97,53.06
Israel,2021-01-23,80-89,82.0,45.05
Israel,2021-01-23,90+,84.45,46.07
Israel,2021-01-24,20-29,15.9,3.61
Israel,2021-01-24,30-39,20.29,5.65
Israel,2021-01-24,40-49,40.17,9.5
Israel,2021-01-24,50-59,57.64,16.56
Israel,2021-01-24,60-69,72.09,42.26
Israel,2021-01-24,70-79,89.42,58.59
Israel,2021-01-24,80-89,82.45,50.71
Israel,2021-01-24,90+,84.9,52.08
Israel,2021-01-25,20-29,17.2,4.35
Israel,2021-01-25,30-39,21.52,6.62
Israel,2021-01-25,40-49,42.32,11.27
Israel,2021-01-25,50-59,59.08,19.9
Israel,2021-01-25,60-69,72.91,46.48
Israel,2021-01-25,70-79,90.23,63.76
Israel,2021-01-25,80-89,83.33,56.35
Israel,2021-01-25,90+,85.86,58.15
Israel,2021-01-26,20-29,18.66,5.02
Israel,2021-01-26,30-39,23.02,7.54
Israel,2021-01-26,40-49,44.54,12.95
Israel,2021-01-26,50-59,60.44,23.05
Israel,2021-01-26,60-69,73.61,50.69
Israel,2021-01-26,70-79,90.85,68.68
Israel,2021-01-26,80-89,83.95,61.54
Israel,2021-01-26,90+,86.56,63.29
Israel,2021-01-27,20-29,19.54,5.76
Israel,2021-01-27,30-39,23.71,8.41
Israel,2021-01-27,40-49,45.58,14.29
Israel,2021-01-27,50-59,61.04,25.09
Israel,2021-01-27,60-69,73.91,53.44
Israel,2021-01-27,70-79,91.14,71.98
Israel,2021-01-27,80-89,84.25,65.05
Israel,2021-01-27,90+,86.9,67.04
Israel,2021-01-28,20-29,21.13,6.7
Israel,2021-01-28,30-39,25.98,9.65
Israel,2021-01-28,40-49,48.28,16.55
Israel,2021-01-28,50-59,62.66,29.32
Israel,2021-01-28,60-69,74.63,58.68
Israel,2021-01-28,70-79,91.71,77.41
Israel,2021-01-28,80-89,84.77,70.46
Israel,2021-01-28,90+,87.48,72.24
Israel,2021-01-29,20-29,21.62,7.01
Israel,2021-01-29,30-39,26.88,10.18
Israel,2021-01-29,40-49,49.11,17.69
Israel,2021-01-29,50-59,63.1,30.91
Israel,2021-01-29,60-69,74.8,60.13
Israel,2021-01-29,70-79,91.83,78.83
Israel,2021-01-29,80-89,84.89,71.77
Israel,2021-01-29,90+,87.56,73.41
Israel,2021-01-30,20-29,22.08,7.31
Israel,2021-01-30,30-39,27.82,10.73
Israel,2021-01-30,40-49,50.03,18.8
Israel,2021-01-30,50-59,63.57,32.25
Israel,2021-01-30,60-69,74.97,61.19
Israel,2021-01-30,70-79,91.95,79.84
Israel,2021-01-30,80-89,84.98,72.76
Israel,2021-01-30,90+,87.64,74.42
Israel,2021-01-31,20-29,23.05,7.61
Israel,2021-01-31,30-39,29.47,11.26
Israel,2021-01-31,40-49,51.58,19.8
Israel,2021-01-31,50-59,64.49,33.59
Israel,2021-01-31,60-69,75.39,62.7
Israel,2021-01-31,70-79,92.31,81.51
Israel,2021-01-31,80-89,85.31,74.42
Israel,2021-01-31,90+,88.0,75.96
Israel,2021-02-01,20-29,24.74,7.88
Israel,2021-02-01,30-39,31.69,11.73
Israel,2021-02-01,40-49,53.22,20.69
Israel,2021-02-01,50-59,65.56,34.68
Israel,2021-02-01,60-69,75.87,63.54
Israel,2021-02-01,70-79,92.71,82.35
Israel,2021-02-01,80-89,85.72,75.28
Israel,2021-02-01,90+,88.48,76.82
Israel,2021-02-02,20-29,25.99,8.06
Israel,2021-02-02,30-39,33.29,12.03
Israel,2021-02-02,40-49,54.49,21.22
Israel,2021-02-02,50-59,66.37,35.65
Israel,2021-02-02,60-69,76.27,64.19
Israel,2021-02-02,70-79,93.09,82.94
Israel,2021-02-02,80-89,86.12,75.94
Israel,2021-02-02,90+,88.98,77.46
Israel,2021-02-03,20-29,27.26,8.39
Israel,2021-02-03,30-39,34.87,12.49
Israel,2021-02-03,40-49,55.67,22.02
Israel,2021-02-03,50-59,67.2,38.2
Israel,2021-02-03,60-69,76.69,65.26
Israel,2021-02-03,70-79,93.46,83.81
Israel,2021-02-03,80-89,86.54,76.77
Israel,2021-02-03,90+,89.47,78.14
Israel,2021-02-04,20-29,28.96,8.88
Israel,2021-02-04,30-39,36.81,13.08
Israel,2021-02-04,40-49,56.72,22.95
Israel,2021-02-04,50-59,67.89,40.89
Israel,2021-02-04,60-69,77.03,66.2
Israel,2021-02-04,70-79,93.73,84.56
Israel,2021-02-04,80-89,86.85,77.46
Israel,2021-02-04,90+,89.77,78.68
Israel,2021-02-05,20-29,29.53,9.03
Israel,2021-02-05,30-39,37.57,13.35
Israel,2021-02-05,40-49,57.09,23.35
Israel,2021-02-05,50-59,68.15,42.02
Israel,2021-02-05,60-69,77.14,66.52
Israel,2021-02-05,70-79,93.81,84.79
Israel,2021-02-05,80-89,86.95,77.68
Israel,2021-02-05,90+,89.9,78.86
Israel,2021-02-06,20-29,30.21,9.17
Israel,2021-02-06,30-39,38.36,13.59
Israel,2021-02-06,40-49,57.52,23.86
Israel,2021-02-06,50-59,68.45,43.28
Israel,2021-02-06,60-69,77.27,66.77
Israel,2021-02-06,70-79,93.91,84.97
Israel,2021-02-06,80-89,87.03,77.85
Israel,2021-02-06,90+,90.0,79.02
Israel,2021-02-07,20-29,31.48,9.92
Israel,2021-02-07,30-39,39.78,14.2
Israel,2021-02-07,40-49,58.29,25.47
Israel,2021-02-07,50-59,69.03,46.08
Israel,2021-02-07,60-69,77.57,67.45
Israel,2021-02-07,70-79,94.16,85.52
Israel,2021-02-07,80-89,87.3,78.37
Israel,2021-02-07,90+,90.36,79.5
Israel,2021-02-08,20-29,32.58,10.86
Israel,2021-02-08,30-39,40.88,14.68
Israel,2021-02-08,40-49,58.84,26.83
Israel,2021-02-08,50-59,69.45,47.74
Israel,2021-02-08,60-69,77.8,67.98
Israel,2021-02-08,70-79,94.37,85.99
Israel,2021-02-08,80-89,87.52,78.83
Israel,2021-02-08,90+,90.6,79.86
Israel,2021-02-09,20-29,33.99,11.85
Israel,2021-02-09,30-39,42.28,15.29
Israel,2021-02-09,40-49,59.61,28.57
Israel,2021-02-09,50-59,70.05,49.5
Israel,2021-02-09,60-69,78.12,68.78
Israel,2021-02-09,70-79,94.63,86.81
Israel,2021-02-09,80-89,87.8,79.65
Israel,2021-02-09,90+,91.0,80.66
Israel,2021-02-10,20-29,36.6,12.97
Israel,2021-02-10,30-39,45.0,17.28
Israel,2021-02-10,40-49,61.21,32.81
Israel,2021-02-10,50-59,71.24,52.6
Israel,2021-02-10,60-69,78.7,69.78
Israel,2021-02-10,70-79,95.04,87.51
Israel,2021-02-10,80-89,88.16,80.26
Israel,2021-02-10,90+,91.41,81.13
Israel,2021-02-11,20-29,38.6,13.75
Israel,2021-02-11,30-39,46.93,18.34
Israel,2021-02-11,40-49,62.34,35.14
Israel,2021-02-11,50-59,72.06,54.04
Israel,2021-02-11,60-69,79.13,70.33
Israel,2021-02-11,70-79,95.35,87.98
Israel,2021-02-11,80-89,88.45,80.71
Israel,2021-02-11,90+,91.69,81.54
Israel,2021-02-12,20-29,39.06,13.89
Israel,2021-02-12,30-39,47.41,18.69
Israel,2021-02-12,40-49,62.62,35.97
Israel,2021-02-12,50-59,72.27,54.49
Israel,2021-02-12,60-69,79.23,70.49
Israel,2021-02-12,70-79,95.41,88.09
Israel,2021-02-12,80-89,88.5,80.83
Israel,2021-02-12,90+,91.74,81.65
Israel,2021-02-13,20-29,40.3,14.23
Israel,2021-02-13,30-39,48.55,19.37
Israel,2021-02-13,40-49,63.33,37.58
Israel,2021-02-13,50-59,72.82,55.45
Israel,2021-02-13,60-69,79.48,70.82
Israel,2021-02-13,70-79,95.57,88.33
Israel,2021-02-13,80-89,88.65,81.06
Israel,2021-02-13,90+,91.88,81.9
Israel,2021-02-14,20-29,42.15,15.08
Israel,2021-02-14,30-39,50.28,20.33
Israel,2021-02-14,40-49,64.45,39.66
Israel,2021-02-14,50-59,73.69,56.65
Israel,2021-02-14,60-69,79.99,71.38
Israel,2021-02-14,70-79,95.95,88.84
Israel,2021-02-14,80-89,88.98,81.53
Israel,2021-02-14,90+,92.19,82.38
Israel,2021-02-15,20-29,44.12,16.16
Israel,2021-02-15,30-39,52.2,21.4
Israel,2021-02-15,40-49,65.73,41.6
Israel,2021-02-15,50-59,74.7,57.96
Israel,2021-02-15,60-69,80.54,71.98
Israel,2021-02-15,70-79,96.35,89.34
Israel,2021-02-15,80-89,89.36,82.02
Israel,2021-02-15,90+,92.59,82.97
Israel,2021-02-16,20-29,46.17,17.45
Israel,2021-02-16,30-39,54.01,22.52
Israel,2021-02-16,40-49,66.92,43.33
Israel,2021-02-16,50-59,75.64,59.0
Israel,2021-02-16,60-69,81.07,72.48
Israel,2021-02-16,70-79,96.75,89.77
Israel,2021-02-16,80-89,89.71,82.45
Israel,2021-02-16,90+,92.95,83.45
Israel,2021-02-17,20-29,47.88,18.71
Israel,2021-02-17,30-39,55.46,23.53
Israel,2021-02-17,40-49,67.91,44.94
Israel,2021-02-17,50-59,76.34,59.92
Israel,2021-02-17,60-69,81.42,72.89
Israel,2021-02-17,70-79,96.98,90.13
Israel,2021-02-17,80-89,89.89,82.78
Israel,2021-02-17,90+,93.13,83.77
Israel,2021-02-18,20-29,49.85,20.03
Israel,2021-02-18,30-39,57.45,25.18
Israel,2021-02-18,40-49,69.31,46.95
Israel,2021-02-18,50-59,77.34,61.32
Israel,2021-02-18,60-69,81.87,73.39
Israel,2021-02-18,70-79,97.23,90.5
Israel,2021-02-18,80-89,90.08,83.11
Israel,2021-02-18,90+,93.28,84.11
Israel,2021-02-19,20-29,50.54,20.44
Israel,2021-02-19,30-39,58.17,25.94
Israel,2021-02-19,40-49,69.78,47.74
Israel,2021-02-19,50-59,77.68,61.72
Israel,2021-02-19,60-69,82.03,73.55
Israel,2021-02-19,70-79,97.31,90.62
Israel,2021-02-19,80-89,90.15,83.21
Israel,2021-02-19,90+,93.32,84.2
Israel,2021-02-21,20-29,53.53,21.98
Israel,2021-02-21,30-39,60.84,28.61
Israel,2021-02-21,40-49,71.61,50.29
Israel,2021-02-21,50-59,79.06,63.13
Israel,2021-02-21,60-69,82.78,74.18
Israel,2021-02-21,70-79,97.85,91.13
Israel,2021-02-21,80-89,90.59,83.7
Israel,2021-02-21,90+,93.74,84.71
Israel,2021-02-22,20-29,55.2,23.11
Israel,2021-02-22,30-39,62.5,29.89
Israel,2021-02-22,40-49,72.66,51.29
Israel,2021-02-22,50-59,79.89,63.76
Israel,2021-02-22,60-69,83.32,74.51
Israel,2021-02-22,70-79,98.29,91.44
Israel,2021-02-22,80-89,90.99,83.98
Israel,2021-02-22,90+,94.14,85.04
Israel,2021-02-23,20-29,56.25,24.3
Israel,2021-02-23,30-39,63.8,31.77
Israel,2021-02-23,40-49,72.66,52.09
Israel,2021-02-23,50-59,79.18,63.52
Israel,2021-02-23,60-69,83.16,74.38
Israel,2021-02-23,70-79,92.96,86.51
Israel,2021-02-23,80-89,90.18,83.34
Israel,2021-02-23,90+,92.82,84.08
Israel,2021-02-24,20-29,57.77,25.59
Israel,2021-02-24,30-39,65.13,33.21
Israel,2021-02-24,40-49,73.55,53.17
Israel,2021-02-24,50-59,79.85,64.24
Israel,2021-02-24,60-69,83.57,74.76
Israel,2021-02-24,70-79,93.3,86.84
Israel,2021-02-24,80-89,90.51,83.72
Israel,2021-02-24,90+,93.14,84.49
Israel,2021-02-25,20-29,58.81,26.8
Israel,2021-02-25,30-39,66.11,34.71
Israel,2021-02-25,40-49,74.23,54.01
Israel,2021-02-25,50-59,80.4,64.82
Israel,2021-02-25,60-69,83.91,75.05
Israel,2021-02-25,70-79,93.54,87.09
Israel,2021-02-25,80-89,90.77,84.0
Israel,2021-02-25,90+,93.4,84.8
Israel,2021-02-26,20-29,59.39,27.55
Israel,2021-02-26,30-39,66.72,35.75
Israel,2021-02-26,40-49,74.66,54.58
Israel,2021-02-26,50-59,80.73,65.18
Israel,2021-02-26,60-69,84.08,75.2
Israel,2021-02-26,70-79,93.65,87.19
Israel,2021-02-26,80-89,90.88,84.11
Israel,2021-02-26,90+,93.52,84.93
Israel,2021-02-27,20-29,59.84,27.96
Israel,2021-02-27,30-39,67.07,36.26
Israel,2021-02-27,40-49,74.91,54.85
Israel,2021-02-27,50-59,80.94,65.35
Israel,2021-02-27,60-69,84.17,75.27
Israel,2021-02-27,70-79,93.7,87.24
Israel,2021-02-27,80-89,90.95,84.15
Israel,2021-02-27,90+,93.56,84.99
Israel,2021-02-28,20-29,60.67,29.09
Israel,2021-02-28,30-39,67.84,37.53
Israel,2021-02-28,40-49,75.47,55.6
Israel,2021-02-28,50-59,81.37,65.86
Israel,2021-02-28,60-69,84.43,75.54
Israel,2021-02-28,70-79,93.92,87.46
Israel,2021-02-28,80-89,91.16,84.41
Israel,2021-02-28,90+,93.74,85.33
Israel,2021-03-01,20-29,61.24,30.07
Israel,2021-03-01,30-39,68.42,38.58
Israel,2021-03-01,40-49,75.88,56.08
Israel,2021-03-01,50-59,81.71,66.22
Israel,2021-03-01,60-69,84.68,75.77
Israel,2021-03-01,70-79,94.13,87.66
Israel,2021-03-01,80-89,91.39,84.64
Israel,2021-03-01,90+,93.95,85.57
Israel,2021-03-02,20-29,62.55,32.39
Israel,2021-03-02,30-39,69.64,40.98
Israel,2021-03-02,40-49,76.75,57.36
Israel,2021-03-02,50-59,82.44,67.1
Israel,2021-03-02,60-69,85.17,76.23
Israel,2021-03-02,70-79,94.5,88.0
