,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvaccinations,totalbooster,fullyvacnumber
61,GMB,Gambia,9992.0,342.0,5870327.0,45.37,36.058622754491,4.0,2.6972477064220204,1.0,0.125382262996942,268008.0,0.0,222890.0
62,GEO,Georgia,865293.0,12344.0,475893185.0,84.26,55.8301807228916,4.0,2.85932721712538,3.0,1.15290519877676,2238070.0,0.0,1018984.0
63,DEU,Germany,6200937.0,103124.0,2854120708.0,85.19,67.20969969969971,2.0,2.0,2.0,1.3547400611620801,127656766.0,13914334.0,57383300.0
64,GHA,Ghana,130920.0,1209.0,280790023.0,50.93,42.554845679012296,4.0,4.0,1.0,0.477272727272727,3493688.0,0.0,842225.0
65,GRC,Greece,966221.0,18595.0,3699475618.0,88.89,74.0322435897436,4.0,3.1891025641025603,3.0,1.72115384615385,14788422.0,1696563.0,6663358.0
66,GRL,Greenland,,,0.0,55.56,39.516727828746205,2.0,2.0,1.0,0.23241590214067298,77808.0,0.0,37537.0
67,GUM,Guam,,,,62.96,47.768653846153796,3.0,3.0,1.0,0.43910256410256393,,,
68,GTM,Guatemala,619852.0,15986.0,287140734.0,66.2,52.523333333333305,4.0,3.5045871559633,2.0,0.256880733944954,10266743.0,0.0,4176059.0
69,GIN,Guinea,30770.0,387.0,0.0,71.3,58.3861861861862,4.0,3.0672782874617703,2.0,2.0,2493842.0,0.0,813477.0
70,GUY,Guyana,38160.0,1006.0,0.0,71.3,60.232879256965894,4.0,3.22600619195046,2.0,2.0,682779.0,0.0,280637.0
71,HTI,Haiti,25510.0,747.0,0.0,64.81,48.00321321321321,3.0,3.0,2.0,1.92660550458716,184769.0,0.0,66888.0
72,HND,Honduras,378251.0,10412.0,0.0,89.81,77.13297872340421,4.0,3.1498470948012205,3.0,1.51681957186544,7960942.0,0.0,0.0
73,HKG,Hong Kong,,,207666928.0,71.3,66.5947692307692,2.0,2.0,1.0,1.0,9540544.0,0.0,4552531.0
74,HUN,Hungary,1134869.0,35122.0,1391527061.0,79.63,48.324696969697,3.0,2.217125382263,2.0,1.09480122324159,0.0,2765500.0,5867068.0
75,ISL,Iceland,18333.0,35.0,148616910.0,65.74,37.7385889570552,3.0,2.08895705521472,0.0,0.0,665013.0,153073.0,281402.0
76,IND,India,34641561.0,473537.0,129530609663.0,81.94,67.13403614457829,4.0,4.0,3.0,2.5382262996941902,1278763558.0,0.0,477346183.0
77,IDN,Indonesia,4257685.0,143867.0,4835702971.0,71.76,68.7376576576577,4.0,3.8256880733945002,2.0,1.8379204892966399,241441928.0,0.0,99009581.0
78,IRN,Iran,6134465.0,130200.0,4059661925.0,81.48,74.6464,3.0,2.9323076923076896,2.0,1.7969230769230802,107531771.0,1287811.0,48149791.0
79,IRQ,Iraq,2084346.0,23885.0,3056527254.0,84.26,70.989475308642,4.0,3.71296296296296,2.0,1.83641975308642,12268675.0,0.0,4723137.0
80,IRL,Ireland,594250.0,5707.0,1832131819.0,87.96,60.932784431137705,3.0,3.0,2.0,0.788990825688073,8339577.0,913670.0,3798451.0
