,isocode,country,Confirmed,Deaths,tests,MaxStringencyIndex,MeanStringencyIndex,MaxFacialCoverings,MeanFacialCoverings,MaxStayHome,MeanStayHome,totalvaccinations,totalbooster,fullyvaccinated
62,GEO,Georgia,822383.0,11679.0,475893185.0,84.26,56.009908256880706,4.0,2.85932721712538,3.0,1.15290519877676,0.0,0.0,0.0
63,DEU,Germany,5595674.0,100123.0,2854120708.0,85.19,67.0582568807339,2.0,2.0,2.0,1.3547400611620801,119756434.0,7456368.0,56759598.0
64,GHA,Ghana,130920.0,1209.0,280790023.0,50.93,42.554845679012296,4.0,4.0,,,3493688.0,0.0,842225.0
65,GRC,Greece,901661.0,17612.0,3451468679.0,88.89,74.0322435897436,4.0,3.1891025641025603,3.0,1.72115384615385,13863104.0,1062274.0,6541108.0
66,GRL,Greenland,,,0.0,55.56,39.516727828746205,2.0,2.0,1.0,0.23241590214067298,0.0,0.0,0.0
67,GUM,Guam,,,,62.96,47.768653846153796,3.0,3.0,1.0,0.43910256410256393,,,
68,GTM,Guatemala,615725.0,15870.0,277398599.0,66.2,52.6399694189602,4.0,3.5045871559633,2.0,0.256880733944954,9766742.0,0.0,3929408.0
69,GIN,Guinea,30751.0,387.0,0.0,71.3,58.37015290519879,4.0,3.0672782874617703,2.0,2.0,2443497.0,0.0,794289.0
70,GUY,Guyana,37524.0,980.0,0.0,71.3,60.232879256965894,4.0,3.22600619195046,2.0,2.0,668046.0,0.0,271206.0
71,HTI,Haiti,24974.0,723.0,0.0,64.81,47.6948318042813,3.0,3.0,2.0,1.92660550458716,184769.0,0.0,66888.0
72,HND,Honduras,377712.0,10401.0,0.0,89.81,77.35708588957058,4.0,3.1503067484662597,3.0,1.5153374233128798,0.0,0.0,0.0
73,HKG,Hong Kong,,,207666928.0,71.3,66.5947692307692,2.0,2.0,1.0,1.0,9324180.0,0.0,4509632.0
74,HUN,Hungary,1044852.0,33519.0,1360161902.0,79.63,48.5896941896024,3.0,2.217125382263,2.0,1.09480122324159,0.0,2153117.0,5816050.0
75,ISL,Iceland,17152.0,35.0,144129782.0,65.74,37.7385889570552,3.0,2.08895705521472,0.0,0.0,0.0,0.0,0.0
76,IND,India,34544882.0,466980.0,124421122027.0,81.94,67.4597859327217,4.0,4.0,3.0,2.5382262996941902,1193769229.0,0.0,418692797.0
77,IDN,Indonesia,4254443.0,143766.0,4547470661.0,71.76,68.8860550458716,4.0,3.8256880733945002,2.0,1.8379204892966399,0.0,0.0,0.0
78,IRN,Iran,6092822.0,129280.0,3790272266.0,81.48,74.6464,3.0,2.9323076923076896,2.0,1.7969230769230802,0.0,0.0,0.0
79,IRQ,Iraq,2076922.0,23725.0,2975041188.0,84.26,70.989475308642,4.0,3.71296296296296,2.0,1.83641975308642,11715365.0,0.0,4468867.0
80,IRL,Ireland,542146.0,5652.0,1760868126.0,87.96,61.28584097859329,3.0,3.0,2.0,0.788990825688073,8082179.0,677438.0,3787766.0
81,ISR,Israel,1340481.0,8180.0,6156177218.0,87.04,54.9219571865443,3.0,2.31192660550459,2.0,0.244648318042813,16121471.0,4062035.0,5771707.0
82,ITA,Italy,4954585.0,133415.0,21995197962.0,83.33,69.6997859327217,4.0,3.3486238532110093,2.0,1.9021406727828702,94575942.0,5059267.0,43946824.0
83,JAM,Jamaica,90905.0,2365.0,81414969.0,86.11,73.0048318042813,4.0,3.10703363914373,3.0,2.14373088685015,1086928.0,0.0,498762.0
84,JPN,Japan,1726074.0,18349.0,4908867887.0,55.09,49.037003058104,1.0,1.0,1.0,1.0,196440455.0,0.0,96821219.0
85,JOR,Jordan,928256.0,11429.0,1461485181.0,81.48,53.0727914110429,3.0,2.4018404907975497,2.0,1.4907975460122702,7804321.0,0.0,3703946.0
86,KAZ,Kazakhstan,1049637.0,17732.0,1333645988.0,79.17,65.5527217125382,4.0,3.0886850152905203,2.0,0.7461773700305809,16620755.0,0.0,7969940.0
87,KEN,Kenya,254816.0,5332.0,24131061.0,74.07,58.3448615384615,4.0,3.53538461538462,2.0,1.8338461538461501,6700134.0,0.0,2556755.0
88,KIR,Kiribati,2.0,0.0,0.0,56.94,27.7250306748466,3.0,0.368098159509202,2.0,0.613496932515337,0.0,0.0,0.0
89,OWID_KOS,Kosovo,,,97666127.0,75.93,49.5693272171254,4.0,3.2477064220183505,2.0,1.24159021406728,1609325.0,0.0,758250.0
90,KWT,Kuwait,413198.0,2465.0,951458228.0,77.78,58.5319266055046,4.0,3.07033639143731,2.0,0.614678899082569,0.0,0.0,0.0
91,KGZ,Kyrgyzstan,182996.0,2732.0,0.0,58.33,49.42153374233129,3.0,2.5398773006135,1.0,0.009202453987730059,1966408.0,0.0,870255.0
92,LAO,Laos,,,29611906.0,86.11,51.3932415902141,4.0,3.44036697247706,2.0,1.07645259938838,5830021.0,0.0,3099003.0
93,LVA,Latvia,249037.0,4063.0,909776045.0,70.37,51.0765950920245,3.0,2.68098159509202,2.0,0.17177914110429401,2165076.0,0.0,1164941.0
94,LBN,Lebanon,662269.0,8676.0,112679216.0,92.59,69.13801223241589,4.0,2.8226299694189603,3.0,1.8960244648318,3539784.0,0.0,1656653.0
95,LSO,Lesotho,21735.0,662.0,0.0,85.19,57.26279874213839,4.0,3.5094339622641497,2.0,1.93710691823899,617671.0,0.0,572287.0
96,LBR,Liberia,5819.0,287.0,0.0,55.56,44.0374006116208,4.0,3.1100917431192703,1.0,0.20489296636085602,589628.0,0.0,456623.0
97,LBY,Libya,369455.0,5414.0,0.0,87.96,64.7761458333333,3.0,2.78125,2.0,1.34027777777778,2291638.0,0.0,630306.0
98,LIE,Liechtenstein,4396.0,61.0,15795155.0,56.48,44.6377064220183,3.0,2.2140672782874598,1.0,1.0,50484.0,658.0,24979.0
99,LTU,Lithuania,460467.0,6603.0,1194567817.0,74.07,46.685417956656295,3.0,2.1702786377709,2.0,0.6811145510835911,3625461.0,243672.0,1769365.0
100,LUX,Luxembourg,87352.0,862.0,935807056.0,67.59,46.172568807339495,3.0,2.00917431192661,2.0,1.1162079510703402,903491.0,58725.0,0.0
101,MAC,Macao,,,0.0,62.04,29.720825688073397,2.0,2.0,0.0,0.0,899935.0,0.0,422937.0
102,MDG,Madagascar,44072.0,967.0,30420998.0,81.48,49.8977917981073,4.0,3.45741324921136,2.0,1.3564668769716102,0.0,0.0,0.0
103,MWI,Malawi,61867.0,2304.0,8622726.0,52.78,42.5546012269939,3.0,2.4202453987730097,2.0,0.414110429447853,1382977.0,0.0,595701.0
104,MYS,Malaysia,2602835.0,30147.0,5976686924.0,85.19,70.3555657492355,3.0,3.0,2.0,1.6452599388379199,52865603.0,1885792.0,25362337.0
105,MLI,Mali,17096.0,601.0,0.0,51.85,44.31327217125379,3.0,3.0,1.0,0.4250764525993879,734759.0,0.0,312488.0
106,MLT,Malta,38928.0,464.0,318181178.0,75.0,52.767247706422005,4.0,3.55351681957187,0.0,0.0,939732.0,104989.0,431685.0
107,MRT,Mauritania,38881.0,822.0,2715696.0,59.26,42.859969418960205,3.0,3.0,2.0,1.56880733944954,1734046.0,0.0,673813.0
108,MUS,Mauritius,20752.0,240.0,0.0,97.22,53.9443251533742,4.0,3.21165644171779,3.0,0.699386503067485,1875132.0,0.0,914936.0
109,MEX,Mexico,3867976.0,292850.0,2425578215.0,71.76,50.0108868501529,4.0,4.0,2.0,1.3119266055045902,131379625.0,0.0,64502180.0
110,MDA,Moldova,360261.0,8950.0,76938074.0,73.15,50.75767584097861,,,3.0,1.08256880733945,1602864.0,0.0,924050.0
111,MCO,Monaco,3612.0,36.0,0.0,62.96,46.9794984326019,4.0,2.5768025078369905,2.0,0.996865203761755,49980.0,0.0,23308.0
112,MNG,Mongolia,379544.0,1976.0,612784262.0,96.3,61.3230581039755,4.0,3.6880733944954103,2.0,1.32721712538226,4408200.0,0.0,2148807.0
113,MAR,Morocco,949263.0,14770.0,2089311450.0,86.11,70.6700917431193,3.0,3.0,2.0,1.93272171253823,48719196.0,0.0,22692532.0
114,MOZ,Mozambique,151503.0,1940.0,163034307.0,65.74,53.3588685015291,4.0,3.0642201834862406,3.0,2.20183486238532,9706476.0,0.0,3449256.0
115,MMR,Myanmar,,,674068725.0,90.74,72.80785932721709,4.0,3.99388379204893,3.0,2.09174311926605,0.0,0.0,0.0
116,NAM,Namibia,129126.0,3571.0,148597749.0,87.04,47.6420489296636,4.0,2.9357798165137594,2.0,1.7217125382263,649840.0,0.0,294586.0
117,NPL,Nepal,820004.0,11513.0,997277702.0,97.22,57.7525993883792,4.0,3.9755351681957203,3.0,0.9571865443425078,0.0,0.0,0.0
118,NLD,Netherlands,2552933.0,19546.0,481629688.0,82.41,59.098195718654395,3.0,2.03363914373089,2.0,0.8287461773700309,24487879.0,0.0,0.0
119,NZL,New Zealand,10790.0,41.0,616790361.0,96.3,42.479386503067495,3.0,2.2760736196319,2.0,0.601226993865031,7415182.0,8852.0,3545917.0
120,NIC,Nicaragua,17152.0,212.0,0.0,13.89,7.1244654088050305,2.0,1.2012578616352199,0.0,0.0,0.0,0.0,0.0
121,NER,Niger,,,0.0,34.26,25.8429357798165,3.0,2.78593272171254,0.0,0.0,0.0,0.0,0.0
122,NGA,Nigeria,213677.0,2974.0,124869410.0,58.33,50.2483180428135,4.0,3.0672782874617703,2.0,1.85321100917431,9640048.0,0.0,3456204.0
123,NOR,Norway,251397.0,1049.0,1887817509.0,73.15,51.3433027522936,2.0,1.67584097859327,1.0,0.81651376146789,8511891.0,465082.0,3811509.0
124,OMN,Oman,304514.0,4113.0,0.0,84.26,57.606369230769204,,,,,5934585.0,0.0,2828176.0
125,PAK,Pakistan,1283223.0,28690.0,3837431224.0,78.24,57.27072327044029,4.0,3.4088050314465397,3.0,1.87421383647799,121777985.0,0.0,49613535.0
126,PSE,Palestine,,,0.0,92.59,73.6948318042813,,,3.0,1.85015290519878,3024477.0,0.0,1365858.0
127,PAN,Panama,476611.0,7358.0,895299620.0,89.81,68.8937345679012,4.0,4.0,3.0,2.26543209876543,5579376.0,159661.0,2418205.0
128,PNG,Papua New Guinea,34707.0,542.0,431741.0,74.07,55.0682262996942,4.0,2.9877675840978597,2.0,1.20489296636086,0.0,0.0,0.0
129,PRY,Paraguay,462453.0,16365.0,432250149.0,76.85,49.0763836477987,,,2.0,1.7358490566037699,0.0,0.0,0.0
130,PER,Peru,2228212.0,200961.0,1240502624.0,86.11,72.8913455657492,,,3.0,2.2935779816513797,40352816.0,516483.0,17669987.0
131,PHL,Philippines,2828660.0,47682.0,4523302674.0,81.02,70.76035369774921,4.0,3.5048231511254,3.0,2.09967845659164,0.0,0.0,0.0
132,POL,Poland,3406129.0,81688.0,4979379136.0,80.56,55.6100305810398,3.0,2.11009174311927,1.0,1.0,0.0,0.0,0.0
133,PRT,Portugal,1130091.0,18370.0,4260496755.0,87.96,63.2883024691358,3.0,2.78703703703704,2.0,1.0462962962963,0.0,0.0,0.0
134,PRI,Puerto Rico,,,,70.37,43.8168,,,2.0,0.88,,,
135,QAT,Qatar,242518.0,611.0,602282436.0,85.19,60.591406727828705,4.0,3.46483180428135,2.0,1.15902140672783,0.0,0.0,0.0
136,ROU,Romania,1769783.0,55617.0,1007519846.0,76.85,56.6122392638037,4.0,3.57668711656442,2.0,1.14723926380368,14585468.0,0.0,7282874.0
137,RUS,Russia,9270885.0,262733.0,29306937615.0,61.57,44.742546583850896,3.0,2.35714285714286,3.0,0.6987577639751551,122045399.0,3629573.0,54621506.0
138,RWA,Rwanda,100277.0,1341.0,416198646.0,74.07,60.2584709480122,4.0,2.9357798165137594,2.0,1.9633027522935802,8748557.0,0.0,3004325.0
139,SMR,San Marino,5872.0,93.0,0.0,75.93,49.3356441717791,4.0,2.5306748466257702,2.0,1.16564417177914,0.0,0.0,0.0
140,SAU,Saudi Arabia,549590.0,8828.0,6872449606.0,57.41,53.9609509202454,3.0,2.8865030674846603,0.0,0.0,47200127.0,0.0,22311359.0
141,SEN,Senegal,73973.0,1885.0,190142590.0,58.8,30.5462691131498,4.0,3.24159021406728,,,1908088.0,0.0,922233.0
142,SRB,Serbia,1241492.0,11385.0,1402114356.0,61.11,46.075329153605004,3.0,2.66457680250784,1.0,0.7586206896551719,7779147.0,1432313.0,3098262.0
143,SYC,Seychelles,23197.0,125.0,0.0,84.26,70.8684097859327,,,2.0,1.71253822629969,0.0,0.0,0.0
144,SLE,Sierra Leone,6400.0,121.0,0.0,60.19,43.49914373088679,4.0,3.1651376146788994,2.0,0.8654434250764529,0.0,0.0,0.0
145,SGP,Singapore,257510.0,678.0,562440583.0,58.33,50.706346749226,4.0,4.0,1.0,1.0,10083329.0,0.0,5012181.0
146,SVK,Slovakia,1105970.0,14056.0,10462160923.0,74.07,51.1379566563467,,,2.0,0.8297213622291021,4954840.0,0.0,2340055.0
147,SVN,Slovenia,408623.0,5114.0,414883416.0,85.19,50.8904320987654,4.0,3.0462962962963,,,2628320.0,260720.0,1141777.0
148,SLB,Solomon Islands,20.0,0.0,0.0,38.89,31.021926605504603,4.0,1.1620795107033601,0.0,0.0,0.0,0.0,0.0
149,SOM,Somalia,22969.0,1324.0,0.0,60.19,31.330825688073396,3.0,2.782874617737,2.0,0.902140672782875,964433.0,0.0,564612.0
150,ZAF,South Africa,2950035.0,89657.0,4174396158.0,75.0,52.0672085889571,4.0,3.02147239263804,2.0,2.0,25002232.0,0.0,14115744.0
151,KOR,South Korea,,,2388892896.0,67.59,52.495015290519895,3.0,3.0,1.0,0.5535168195718649,83872251.0,2279515.0,40709127.0
152,SSD,South Sudan,12701.0,133.0,9594739.0,77.78,45.4334250764526,3.0,2.3394495412844,2.0,0.776758409785933,218154.0,0.0,133315.0
153,ESP,Spain,5111842.0,87904.0,2101103976.0,78.7,57.010462962963,4.0,3.24382716049383,2.0,1.4660493827160501,75573156.0,4123858.0,37578516.0
154,LKA,Sri Lanka,559605.0,14205.0,1187695448.0,90.74,74.27846625766871,4.0,3.4294478527607404,3.0,2.0398773006135,29638112.0,0.0,13721117.0
155,SDN,Sudan,41959.0,3114.0,0.0,64.81,27.6472955974843,4.0,2.56603773584906,3.0,0.36163522012578597,1659666.0,0.0,0.0
156,SUR,Suriname,50629.0,1158.0,0.0,92.59,71.3623853211009,,,2.0,2.0,0.0,0.0,0.0
